top - 09:30:52 up 2 days, 17:21,  1 user,  load average: 0,08, 0,27, 0,39
Tarefas: 264 total,   1 em exec., 216 dormindo,   0 parado,   0 zumbi
%CPU(s):  5,5 us,  2,0 sis,  0,4 ni, 91,8 oc,  0,3 ag,  0,0 ih,  0,1 is  0,0 tr
KB mem :  5986548 total,   794320 livre,  2676912 usados,  2515316 buff/cache
KB swap:  2097148 total,  2093564 livre,     3584 usados,  2785580 mem dispon.

  PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU %MEM    TEMPO+ COMANDO
  300 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop8
  303 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop9
  305 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop10
  308 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop11
  309 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop12
  311 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop13
  325 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop14
  331 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop15
  333 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop16
  334 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop17
  335 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop18
  368 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop19
  383 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop20
  385 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop21
  410 root       0 -20       0      0      0 S   0,0  0,0   0:00.03 loop22
  528 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 cfg80211
  530 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 cryptd
  574 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 kmemstick
  768 systemd+  20   0  146132   3324   2764 S   0,0  0,1   0:00.10 systemd-ti+
  769 systemd+  20   0   71168   6540   5464 S   0,0  0,1   0:00.62 systemd-re+
  825 root      20   0    4548    784    724 S   0,0  0,0   0:00.89 acpid
  826 root      20   0   31324   3132   2848 S   0,0  0,1   0:00.06 cron
  830 root      20   0  110476   3672   3312 S   0,0  0,1   0:01.46 irqbalance
  837 root      20   0  170872  17036   9040 S   0,0  0,3   0:00.12 networkd-d+
  838 root      20   0  179872   9388   8584 S   0,0  0,2   0:01.53 thermald
  865 avahi     20   0   47260   3216   2876 S   0,0  0,1   0:00.33 avahi-daem+
  866 root      20   0  434324   9496   8080 S   0,0  0,2   0:00.13 ModemManag+
  882 root      20   0  288136   7404   6420 S   0,0  0,1   0:00.66 accounts-d+
  893 message+  20   0   51712   6160   3928 S   0,0  0,1   0:04.84 dbus-daemon
  907 avahi     20   0   47076    340      0 S   0,0  0,0   0:00.00 avahi-daem+
  914 root      20   0   45492   8008   7188 S   0,0  0,1   0:00.26 wpa_suppli+
  916 root      20   0  895768  18184  14416 S   0,0  0,3   0:06.05 NetworkMan+
  920 root      20   0  503624  11760   8668 S   0,0  0,2   0:04.68 udisksd
  921 syslog    20   0  263036   4520   3484 S   0,0  0,1   0:00.47 rsyslogd
  922 root      20   0   70760   6220   5388 S   0,0  0,1   0:00.56 systemd-lo+
  926 root      20   0 1170368  28072  14628 S   0,0  0,5   0:07.16 snapd
  934 root      20   0  297116  10204   6992 S   0,0  0,2   0:00.53 polkitd
 1018 dictd     20   0   59128   3288   2528 S   0,0  0,1   0:00.01 dictd
 1032 memcache  20   0  424760   3024   2512 S   0,0  0,1   0:05.68 memcached
 1034 root      20   0  187288  19928  11972 S   0,0  0,3   0:00.13 unattended+
 1057 root      20   0   72300   5700   4972 S   0,0  0,1   0:00.03 sshd
 1079 root      20   0  364260   6940   5920 S   0,0  0,1   0:00.02 lightdm
 1113 root      20   0   16184   1968   1832 S   0,0  0,0   0:00.00 agetty
 1123 root      20   0  561444  32220  24616 S   0,0  0,5   0:01.29 apache2
 1397 rtkit     21   1  183504   3092   2828 S   0,0  0,1   0:00.33 rtkit-daem+
 1430 root      20   0  315684   9012   7764 S   0,0  0,2   0:00.78 upowerd
 1470 colord    20   0  423440 118344   9224 S   0,0  2,0   0:00.66 colord
 1474 root      20   0  250552   7204   6292 S   0,0  0,1   0:00.02 lightdm
 1485 clamav    20   0  308804  32840  26496 S   0,0  0,5   0:04.76 freshclam
 1487 whoopsie  20   0  464356  12484  10812 S   0,0  0,2   0:00.04 whoopsie
 1489 kernoops  20   0   56940    420      0 S   0,0  0,0   0:01.09 kerneloops
 1501 sndiod     0 -20   30432    236      0 S   0,0  0,0   0:00.00 sndiod
 1503 kernoops  20   0   56940   2664   2216 S   0,0  0,0   0:01.08 kerneloops
 1765 Debian-+  20   0   69832   5004   4192 S   0,0  0,1   0:00.00 exim4
 1780 mateus    20   0   77340   8588   6828 S   0,0  0,1   0:03.35 systemd
 1781 mateus    20   0  196456   3052     12 S   0,0  0,1   0:00.00 (sd-pam)
 1794 mateus    20   0  281836   8552   7448 S   0,0  0,1   0:00.21 gnome-keyr+
 1797 mateus    20   0    4624    880    812 S   0,0  0,0   0:00.56 run-system+
 1844 mateus    20   0  429000   8156   6188 S   0,0  0,1   0:25.65 ibus-daemon
 1851 mateus    20   0   51080   5364   3728 S   0,0  0,1   0:01.35 dbus-daemon
 1855 mateus    20   0  285256   7376   6348 S   0,0  0,1   0:00.11 gvfsd
 1861 mateus    20   0  416112   5364   4832 S   0,0  0,1   0:00.00 gvfsd-fuse
 1863 mateus    20   0  274144   7000   6348 S   0,0  0,1   0:00.00 ibus-dconf
 1864 mateus    20   0  472568  33792  24700 S   0,0  0,6   0:00.88 ibus-ui-gt+
 1868 mateus    20   0  337796  21224  16588 S   0,0  0,4   0:00.14 ibus-x11
 1888 mateus    20   0  272076   6112   5672 S   0,0  0,1   0:00.08 ibus-portal
 1932 mateus    20   0   11304    316      0 S   0,0  0,0   0:00.10 ssh-agent
 1933 mateus    20   0  198276   6944   6312 S   0,0  0,1   0:06.90 ibus-engin+
 1936 mateus    20   0   94588  34716   1688 S   0,0  0,6   0:01.96 monkeysphe+
 2023 mateus    20   0   64948   6092   5536 S   0,0  0,1   0:00.00 systemctl
 2035 mateus    20   0 1258712  26572  21668 S   0,0  0,4   0:00.56 indicator-+
 2036 mateus    20   0  414896   6060   5420 S   0,0  0,1   0:00.00 indicator-+
 2037 mateus    20   0  902552   7500   6348 S   0,0  0,1   0:00.06 indicator-+
 2038 mateus    20   0  462080  23852  18520 S   0,0  0,4   0:00.16 indicator-+
 2039 mateus    20   0  775336  15680  12836 S   0,0  0,3   0:00.25 gnome-sess+
 2040 mateus    20   0  391292  10784   9312 S   0,0  0,2   0:00.62 indicator-+
 2058 mateus    20   0  366928   8156   6992 S   0,0  0,1   0:00.02 indicator-+
 2059 mateus    20   0 1012060  11404   9832 S   0,0  0,2   0:00.08 indicator-+
 2060 mateus    20   0  572604   7252   6212 S   0,0  0,1   0:00.20 indicator-+
 2061 mateus    20   0  712592  27544  20872 S   0,0  0,5   0:00.22 indicator-+
 2071 mateus    20   0  555128  40520  34444 S   0,0  0,7   0:01.90 gnome-scre+
 2102 mateus     9 -11 2121096  17536  13460 S   0,0  0,3   0:03.54 pulseaudio
 2103 mateus    20   0 1365884  26620  22380 S   0,0  0,4   0:00.10 evolution-+
 2121 mateus    20   0  777236  33784  27892 S   0,0  0,6   0:00.07 goa-daemon
 2132 mateus    20   0  894028  67356  27468 S   0,0  1,1   0:00.45 evolution-+
 2137 mateus    20   0  357940   7412   6628 S   0,0  0,1   0:00.91 gsd-housek+
 2139 mateus    20   0  500420  22224  17340 S   0,0  0,4   0:00.21 gsd-keyboa+
 2140 mateus    20   0 1198464  24128  18676 S   0,0  0,4   0:00.35 gsd-media-+
 2141 mateus    20   0  271648   5724   5176 S   0,0  0,1   0:00.02 gsd-mouse
 2151 mateus    20   0  370628   8000   7144 S   0,0  0,1   0:00.32 goa-identi+
 2154 mateus    20   0  865856  25160  19412 S   0,0  0,4   0:00.46 gsd-power
 2157 mateus    20   0  342508  10448   9116 S   0,0  0,2   0:00.03 gsd-print-+
 2159 mateus    20   0  416532   6148   5520 S   0,0  0,1   0:00.03 gsd-rfkill
 2162 mateus    20   0  446456  10212   8316 S   0,0  0,2   0:02.49 gsd-sharing
 2164 mateus    20   0  371560   8132   7328 S   0,0  0,1   0:00.03 gsd-smartc+
